CRN,Mean H,Mean O,Mean C,Mean A,Mean I,Mean E,Missing values H,Missing values O,Missing values C,Missing values A,Missing values I,Missing values E
COD566,4.2195121951219505,3.4530075187969924,4.1539491298527444,4.2190082644628095,3.881419234360411,4.340425531914893,180.0,648.0,588.0,105.0,981.0,896.0
1378,4.1269841269841265,3.607142857142857,4.0813492063492065,4.398809523809524,3.5052910052910056,4.239583333333333,0.0,0.0,0.0,0.0,0.0,0.0
1515,null,null,null,null,null,null,0.0,0.0,0.0,0.0,0.0,0.0
1527,null,null,null,null,null,null,0.0,0.0,0.0,0.0,0.0,0.0
1537,4.104166666666667,3.1805555555555554,4.340277777777778,4.5,4.296296296296296,4.25,0.0,0.0,48.0,4.0,18.0,16.0
1544,null,null,null,null,null,null,0.0,0.0,0.0,0.0,0.0,0.0
1640,null,null,null,null,null,null,0.0,0.0,0.0,0.0,0.0,0.0
1640_2,null,null,null,null,null,null,0.0,0.0,0.0,0.0,0.0,0.0
16672,4.072463768115942,3.311111111111111,3.8598484848484844,3.3106060606060606,3.6767676767676765,3.3579545454545454,12.0,45.0,36.0,18.0,54.0,48.0
16673,4.0256410256410255,2.6203703703703702,4.138888888888889,4.045454545454545,3.474747474747475,4.295454545454545,3.0,18.0,12.0,6.0,27.0,24.0
16674,3.976190476190476,4.188034188034188,4.294871794871795,4.269230769230769,4.076923076923077,4.4423076923076925,6.0,27.0,18.0,6.0,27.0,24.0
16675,4.05982905982906,3.3390313390313393,3.6324786324786325,3.759601706970128,3.507507507507508,3.6756756756756754,3.0,9.0,6.0,7.0,27.0,24.0
16676,4.4142857142857155,3.309941520467836,4.126984126984127,4.361111111111111,4.1419753086419755,4.298611111111111,7.0,18.0,21.0,6.0,27.0,24.0
16677,null,null,null,null,null,null,0.0,0.0,0.0,0.0,0.0,0.0
16678,null,null,null,null,null,null,0.0,0.0,0.0,0.0,0.0,0.0
16679,null,null,null,null,null,null,0.0,0.0,0.0,0.0,0.0,0.0
16680,null,null,null,null,null,null,0.0,0.0,0.0,0.0,0.0,0.0
16681,null,null,null,null,null,null,0.0,0.0,0.0,0.0,0.0,0.0
16682,null,null,null,null,null,null,0.0,0.0,0.0,0.0,0.0,0.0
16683,null,null,null,null,null,null,0.0,0.0,0.0,0.0,0.0,0.0
16684,null,null,null,null,null,null,0.0,0.0,0.0,0.0,0.0,0.0
16686,null,null,null,null,null,null,0.0,0.0,0.0,0.0,0.0,0.0
16687,null,null,null,null,null,null,0.0,0.0,0.0,0.0,0.0,0.0
16688,null,null,null,null,null,null,0.0,0.0,0.0,0.0,0.0,0.0
16689,null,null,null,null,null,null,0.0,0.0,0.0,0.0,0.0,0.0
16690,4.375,3.4166666666666665,3.8284313725490193,3.9393939393939394,3.8114478114478114,3.871212121212121,33.0,120.0,102.0,18.0,162.0,144.0
16691,4.138888888888889,4.12037037037037,4.111111111111112,4.545454545454545,3.5656565656565657,4.295454545454545,0.0,0.0,0.0,2.0,9.0,8.0
16685,null,null,null,null,null,null,0.0,0.0,0.0,0.0,0.0,0.0
781,4.111111111111112,3.4117647058823533,3.940740740740741,3.357142857142857,4.064814814814815,4.0625,15.0,36.0,54.0,16.0,81.0,72.0
16697,4.202898550724638,3.735449735449736,4.277777777777777,4.396491228070175,4.45,4.15,12.0,54.0,36.0,22.0,63.0,56.0
16701,null,null,null,null,null,null,0.0,0.0,0.0,0.0,0.0,0.0
16706,null,null,null,null,null,null,0.0,0.0,0.0,0.0,0.0,0.0
16711_SE,null,null,null,null,null,null,0.0,0.0,0.0,0.0,0.0,0.0
16712,null,null,null,null,null,null,0.0,0.0,0.0,0.0,0.0,0.0
16714,null,null,null,null,null,null,0.0,0.0,0.0,0.0,0.0,0.0
16717,null,null,null,null,null,null,0.0,0.0,0.0,0.0,0.0,0.0
16719,4.555555555555555,3.6944444444444446,4.307017543859649,4.578947368421053,4.181286549707603,4.532894736842105,9.0,36.0,30.0,10.0,45.0,40.0
1674,null,null,null,null,null,null,0.0,0.0,0.0,0.0,0.0,0.0
1681,null,null,null,null,null,null,0.0,0.0,0.0,0.0,0.0,0.0
1686,null,null,null,null,null,null,0.0,0.0,0.0,0.0,0.0,0.0
1693,null,null,null,null,null,null,0.0,0.0,0.0,0.0,0.0,0.0
17183,null,null,null,null,null,null,0.0,0.0,0.0,0.0,0.0,0.0
1907,4.111111111111111,3.1111111111111116,4.357142857142857,4.5,4.333333333333333,3.8939393939393936,12.0,36.0,28.0,8.0,36.0,44.0
1924_FISICA,3.8666666666666667,3.644444444444445,4.1499999999999995,4.25,4.033333333333334,4.0375,0.0,0.0,0.0,0.0,0.0,0.0
1924_GEOCIENCIAS,4.555555555555556,4.518518518518518,4.4259259259259265,4.611111111111111,4.654320987654321,4.319444444444445,3.0,9.0,6.0,2.0,9.0,8.0
1931,4.222222222222222,3.8518518518518516,4.611111111111112,4.666666666666666,3.9259259259259256,4.222222222222222,0.0,2.0,0.0,0.0,0.0,0.0
1968,null,null,null,null,null,null,0.0,0.0,0.0,0.0,0.0,0.0
1973,null,null,null,null,null,null,0.0,0.0,0.0,0.0,0.0,0.0
1988,null,null,null,null,null,null,0.0,0.0,0.0,0.0,0.0,0.0
2030,null,null,null,null,null,null,0.0,0.0,0.0,0.0,0.0,0.0
2131,null,null,null,null,null,null,0.0,0.0,0.0,0.0,0.0,0.0
2139,null,null,null,null,null,null,0.0,0.0,0.0,0.0,0.0,0.0
2188,null,null,null,null,null,null,0.0,0.0,0.0,0.0,0.0,0.0
2395,null,null,null,null,null,null,0.0,0.0,0.0,0.0,0.0,0.0
2418,4.515151515151516,3.8333333333333335,4.5,4.666666666666667,3.907407407407408,4.291666666666666,6.0,45.0,42.0,14.0,63.0,56.0
16718,null,null,null,null,null,null,0.0,0.0,0.0,0.0,0.0,0.0
2424,null,null,null,null,null,null,0.0,0.0,0.0,0.0,0.0,0.0
302,null,null,null,null,null,null,0.0,0.0,0.0,0.0,0.0,0.0
337,3.695906432748538,3.0787878787878786,3.8144654088050314,3.4433962264150946,3.9329140461215935,3.5023584905660377,3.0,27.0,30.0,10.0,45.0,40.0
502,4.226190476190477,3.367066895368782,3.6415094339622645,4.0270995190529035,3.7735849056603774,3.57857935627081,0.0,33.0,125.0,14.0,27.0,46.0
515,4.666666666666667,4.171875,4.520833333333333,4.875,4.111111111111111,4.546875,3.0,8.0,6.0,3.0,9.0,8.0
548,3.8045977011494254,3.3456790123456788,4.031746031746032,4.180911680911681,3.8760683760683765,4.221153846153847,3.0,27.0,21.0,7.0,36.0,32.0
560,null,null,null,null,null,null,0.0,0.0,0.0,0.0,0.0,0.0
718,4.333333333333333,3.2962962962962963,4.305555555555556,4.166666666666667,4.074074074074074,4.166666666666668,6.0,18.0,12.0,6.0,18.0,18.0
749,3.54320987654321,3.51440329218107,3.6049382716049383,4.425925925925926,4.045267489711934,4.212962962962963,0.0,0.0,0.0,0.0,0.0,0.0
757,null,null,null,null,null,null,0.0,0.0,0.0,0.0,0.0,0.0
765,4.368055555555555,3.385093167701863,4.355072463768116,4.303535353535354,4.234567901234567,4.275568181818182,3.0,21.0,18.0,9.0,36.0,40.0
16708,null,null,null,null,null,null,0.0,0.0,0.0,0.0,0.0,0.0
788_1,null,null,null,null,null,null,0.0,0.0,0.0,0.0,0.0,0.0
788_2,null,null,null,null,null,null,0.0,0.0,0.0,0.0,0.0,0.0
813,null,null,null,null,null,null,0.0,0.0,0.0,0.0,0.0,0.0
